Date,File_count,Word Count_mean,Positive_mean,Negative_mean,sentiment_score_economic_mean,sentiment_score_economic_median,sentiment_score_economic_std
2013-04,7,2429.5714285714284,216.42857142857142,139.71428571428572,31.66071428571429,23.3,37.1346953028848
2013-05,7,2493.5714285714284,211.28571428571428,136.71428571428572,31.86071428571427,33.175000000000004,24.845844962584007
2013-06,7,1932.5714285714287,154.42857142857142,95.14285714285714,26.539285714285707,17.375000000000018,20.015701425916305
2013-07,5,2705.6,228.8,112.8,49.08000000000003,33.50000000000003,35.51597087931009
2013-09,4,2960.5,220.5,164.25,23.862499999999983,19.53749999999999,17.731639565101318
2013-10,9,1930.5555555555557,160.55555555555554,103.0,25.072222222222216,16.499999999999993,20.9612754727484
2013-11,8,2263.75,179.5,124.0,22.159374999999997,25.874999999999996,21.045053446203728
2013-12,4,1833.25,137.25,87.25,28.737499999999997,13.012500000000003,33.6198509068675
2014-01,4,3978.0,311.0,171.75,63.19375,53.924999999999976,47.35156357414895
2014-02,2,2542.0,204.5,141.0,33.575,33.575,10.11162697096763
2014-03,8,2083.625,167.125,103.0,26.28125000000001,22.312500000000004,22.94728722684731
2014-04,5,2304.4,151.2,105.6,24.555000000000007,19.0,13.934718332280712
2014-05,5,1551.6,138.2,71.6,21.56000000000001,20.7,5.450819892456549
2014-06,5,2496.0,206.4,136.6,22.095000000000002,18.949999999999992,22.439832051510553
2014-07,4,3240.75,247.75,171.5,27.3,20.237500000000004,23.724749735244853
2014-08,2,3505.5,299.0,244.5,19.037499999999987,19.037499999999987,16.316488975879608
2014-09,7,1397.2857142857142,92.42857142857143,56.0,20.235714285714284,20.3,21.713483988175685
2014-10,7,2488.8571428571427,193.42857142857142,112.71428571428571,45.92500000000003,29.575000000000045,46.94368967177599
2014-11,5,2289.2,210.2,139.4,20.260000000000005,15.974999999999998,22.632067956773206
2014-12,4,1993.0,151.0,110.0,17.96249999999999,10.7,19.59077695413497
2015-01,4,2994.25,241.5,139.75,41.10624999999999,26.650000000000006,40.48595113842988
2015-02,4,1871.75,155.25,120.25,10.175,9.399999999999999,2.4212600025606466
2015-03,7,2886.4285714285716,213.14285714285714,143.28571428571428,23.78214285714287,16.599999999999987,27.15784767753494
2015-04,6,2266.3333333333335,165.16666666666666,107.66666666666667,22.55,27.487500000000004,19.365065194829587
2015-05,6,1898.3333333333333,139.66666666666666,94.5,18.3625,16.699999999999996,20.469176522273685
2015-06,7,2109.0,153.14285714285714,108.42857142857143,17.464285714285722,10.35,36.364087301046
2015-07,5,2447.8,177.0,126.6,18.505000000000003,10.999999999999998,23.776014699692634
2015-08,2,1594.5,111.0,56.0,22.9875,22.9875,10.977832777921149
2015-09,6,3157.0,217.0,150.0,26.162500000000026,21.125000000000007,17.423323090042313
2015-10,8,1883.875,138.875,89.125,21.509375,19.2,13.7754889561911
2015-11,9,2111.8888888888887,175.66666666666666,96.0,31.79444444444444,22.950000000000053,19.427958983840192
2015-12,6,2450.3333333333335,150.83333333333334,125.0,12.375000000000007,9.7375,17.304630883090233
2016-01,4,2891.0,174.75,116.25,24.02500000000005,6.925000000000001,36.73582493062243
2016-02,5,1738.4,116.4,82.4,11.429999999999998,9.05,12.817314948927487
2016-03,5,3131.8,178.0,155.8,12.820000000000004,11.775,10.010609996398824
2016-04,3,2781.0,183.0,107.66666666666667,38.03333333333334,43.87500000000002,26.352660365384992
2016-05,3,2980.3333333333335,257.3333333333333,120.66666666666667,45.55833333333337,60.17500000000006,41.85982809727407
2016-06,7,2244.1428571428573,155.14285714285714,120.42857142857143,14.024999999999997,14.299999999999995,21.0480749317683
2016-07,3,2842.0,188.66666666666666,129.0,30.85833333333332,26.375,25.250301153319583
2016-08,2,2852.0,162.0,166.5,-5.087499999999998,-5.087499999999998,1.5379572490807434
2016-09,7,2521.4285714285716,178.28571428571428,146.57142857142858,9.667857142857144,14.175,35.8176187856785
2016-10,7,2324.1428571428573,164.57142857142858,100.85714285714286,24.28571428571429,21.149999999999988,13.188503967651606
2016-11,10,2356.8,157.2,104.4,23.302499999999988,13.575000000000003,26.79381782447417
2016-12,5,2659.4,217.2,134.4,31.565000000000015,49.47500000000003,39.45700428947944
2017-01,5,2144.8,163.0,107.8,19.26999999999996,21.349999999999994,17.10363082798498
2017-02,4,3617.25,261.25,124.5,50.78124999999992,32.924999999999976,54.100798573126326
2017-03,9,2427.6666666666665,187.44444444444446,87.33333333333333,44.66944444444445,36.32500000000002,26.089143389114525
2017-04,6,2362.8333333333335,178.16666666666666,122.16666666666667,13.150000000000018,13.900000000000002,41.505873078396974
2017-05,6,3374.0,247.83333333333334,124.33333333333333,49.66666666666665,52.625,29.414055597055395
2017-06,8,2091.25,135.875,95.875,16.15,9.274999999999999,19.073921051679807
2017-07,8,2442.375,165.75,104.875,26.97812500000001,44.80000000000001,28.912449238730076
2017-08,2,2795.0,248.0,182.5,9.275000000000002,9.275000000000002,29.34493141924172
2017-09,7,3426.714285714286,239.14285714285714,148.71428571428572,41.17142857142858,43.87499999999996,24.689249636614075
2017-10,7,1728.4285714285713,132.14285714285714,83.71428571428571,21.928571428571413,12.499999999999998,34.96179888038341
2017-11,7,2047.2857142857142,155.71428571428572,73.28571428571429,39.47857142857144,31.00000000000001,25.76035563844274
2017-12,3,2088.3333333333335,148.66666666666666,72.66666666666667,39.64999999999998,41.95000000000002,30.415292206388504
2018-01,4,2482.0,210.5,77.75,53.61874999999995,26.687500000000018,71.12182440186685
2018-02,4,973.25,97.0,53.5,20.056250000000002,23.987500000000004,11.429974755731818
2018-03,5,2255.0,179.0,79.2,41.05,47.39999999999996,30.030229561227145
2018-04,4,1876.0,189.5,127.0,22.3375,33.8625,36.807905061277275
2018-05,9,2233.222222222222,179.33333333333334,86.77777777777777,39.074999999999996,34.225,28.66506748204162
2018-06,4,2013.5,151.75,87.25,28.66249999999999,21.425000000000022,30.01781068521373
2018-07,2,1345.0,100.0,63.0,9.87499999999999,9.87499999999999,15.662415203282022
2018-08,3,2994.6666666666665,199.0,138.33333333333334,29.324999999999978,9.5,36.06183058304164
2018-09,4,1992.0,134.0,85.75,28.968749999999982,18.824999999999996,28.07355943914721
2018-10,7,1983.142857142857,149.57142857142858,83.14285714285714,28.682142857142857,31.350000000000005,22.554968568873182
2018-11,7,2209.714285714286,180.85714285714286,127.57142857142857,22.428571428571427,9.324999999999996,31.496522389290025
2018-12,8,1995.0,156.25,86.25,32.2375,36.16250000000001,17.44273794858069
2019-01,6,2203.3333333333335,172.0,75.0,39.662500000000044,25.037500000000033,51.556194462935366
2019-02,11,1357.3636363636363,122.27272727272727,45.09090909090909,35.975,34.55,16.568901593044718
2019-03,12,1941.0,157.83333333333334,90.0,31.306249999999995,27.987499999999997,30.05769853926399
2019-04,6,1560.6666666666667,136.33333333333334,49.833333333333336,36.308333333333344,41.02500000000002,20.56800711461047
2019-05,13,2197.153846153846,157.0,87.46153846153847,30.89423076923076,21.399999999999988,33.221955832837025
2019-06,8,1485.625,112.25,64.25,22.75312499999999,20.525,13.780145120918402
2019-07,7,2269.4285714285716,166.57142857142858,116.0,23.30714285714285,6.1,30.69987009434279
2019-08,3,1666.0,172.33333333333334,61.333333333333336,52.55833333333334,40.575,22.86571305105822
2019-09,7,2401.4285714285716,182.0,108.85714285714286,28.52857142857142,24.15000000000001,19.239647803924253
2019-10,14,1548.2142857142858,119.21428571428571,59.42857142857143,26.937499999999996,17.5375,22.762584748289818
2019-11,8,2359.5,166.125,99.25,27.431250000000006,26.725,23.297258997266493
2019-12,3,2515.6666666666665,158.0,105.66666666666667,28.53333333333332,17.59999999999999,31.172797970880513
2020-01,6,2593.1666666666665,222.66666666666666,90.16666666666667,55.24583333333329,48.81249999999999,52.63069545585217
2020-02,8,1904.125,201.75,62.25,56.678125000000016,47.33750000000002,40.10629946400479
2020-03,6,1301.0,82.83333333333333,66.16666666666667,6.42083333333333,4.575,6.770938204316055
2020-04,3,2319.0,165.0,142.66666666666666,0.6666666666666655,2.75,9.64524926237437
2020-05,5,553.0,46.4,36.0,3.3850000000000007,4.249999999999998,7.022232550976934
2020-06,5,2010.8,157.4,113.6,15.814999999999987,4.9,25.776379691492718
2020-07,4,2396.5,168.25,139.25,9.087499999999991,3.937499999999998,17.54214567833706
2020-08,7,1943.7142857142858,169.57142857142858,72.57142857142857,43.77500000000001,42.34999999999998,29.15062177724519
2020-09,6,2706.8333333333335,228.66666666666666,121.33333333333333,51.31249999999997,37.44999999999999,39.77113510449502
2020-10,11,1444.8181818181818,131.36363636363637,77.36363636363636,23.172727272727276,15.22500000000001,17.16983712264569
2020-11,6,2492.3333333333335,180.16666666666666,110.0,36.02083333333331,43.724999999999994,30.023758994613992
2020-12,7,2049.0,184.42857142857142,105.42857142857143,33.00714285714284,25.849999999999994,35.93044413135173
2021-01,7,2319.285714285714,184.42857142857142,101.14285714285714,38.25714285714283,29.375000000000007,47.13066878876413
2021-02,7,1744.142857142857,149.0,109.14285714285714,12.303571428571429,9.7,21.40819755652137
2021-03,12,1900.3333333333333,149.5,94.33333333333333,23.920833333333317,19.950000000000003,28.208410321724717
2021-04,3,3014.6666666666665,212.33333333333334,133.33333333333334,38.749999999999964,30.399999999999952,35.176305945906236
2021-05,9,1683.4444444444443,125.0,75.11111111111111,22.411111111111115,20.65,13.191753526772374
2021-06,6,2463.0,195.16666666666666,113.33333333333333,38.0833333333333,32.7,35.13244108607687
2021-07,4,2276.5,178.25,109.25,37.82499999999993,19.900000000000006,45.69008827597791
2021-08,5,1510.2,105.0,64.4,20.074999999999996,19.549999999999983,7.072702807272477
2021-09,6,2007.0,175.33333333333334,93.0,38.87916666666667,33.18749999999999,33.803633002484624
2021-10,10,1809.0,132.4,90.2,20.670000000000005,23.337500000000002,20.36502243772122
2021-11,12,1699.5,135.33333333333334,72.58333333333333,29.10208333333333,25.512500000000014,22.413324107277766
2021-12,4,3304.75,264.0,173.0,41.88749999999996,46.44999999999991,54.90194478947591
2022-01,4,2295.75,168.75,81.75,38.10624999999996,3.625,69.1461989043263
2022-02,4,1233.0,94.25,43.75,25.000000000000004,24.275000000000006,21.42455756058142
2022-03,5,2038.8,122.2,105.4,11.27500000000001,10.624999999999991,16.408277255702405
2022-04,1,2480.0,157.0,111.0,24.375000000000007,24.375000000000007,
2022-05,7,1645.857142857143,114.57142857142857,85.71428571428571,12.828571428571435,17.474999999999998,19.255688707990878
2022-06,6,1614.1666666666667,107.33333333333333,79.33333333333333,15.7875,15.587499999999999,8.616274571994557
2022-07,5,2123.2,142.0,115.8,13.015,17.674999999999997,8.524791053157845
2022-08,5,1205.6,100.6,59.0,14.105000000000013,13.65,26.195559022475543
2022-09,8,1897.625,135.0,86.875,21.259375000000002,13.96249999999999,23.4190510722574
2022-10,7,1514.4285714285713,98.57142857142857,75.14285714285714,10.867857142857138,11.799999999999994,11.753684832547497
2022-11,8,1842.75,113.875,98.75,11.475000000000001,15.725000000000001,25.342803289522422
2022-12,2,2729.5,143.5,151.0,8.337499999999997,8.337499999999997,9.669685232726035
2023-01,6,1335.8333333333333,92.83333333333333,58.333333333333336,17.88333333333333,22.7625,25.326688821610034
2023-02,10,1723.4,124.2,82.1,18.957500000000003,19.75,14.785315772752373
2023-03,8,2045.875,151.5,86.125,27.671874999999982,9.0,42.6128992825864
2023-04,7,1403.142857142857,124.57142857142857,50.42857142857143,30.960714285714307,22.000000000000007,24.12475326792165
2023-05,13,1620.6153846153845,136.46153846153845,93.84615384615384,16.032692307692322,12.200000000000005,28.67820452999285
2023-06,7,1574.0,124.0,82.42857142857143,14.182142857142866,8.674999999999995,16.751142462815018
2023-07,3,2335.0,140.0,110.66666666666667,11.758333333333328,4.85,13.08530505312479
2023-08,4,815.75,56.5,40.75,9.818750000000001,9.7375,8.777987976561983
2023-09,8,1218.875,98.5,50.75,25.699999999999996,21.999999999999993,18.97135528707876
2023-10,14,1413.0,131.35714285714286,52.357142857142854,31.426785714285717,23.85,25.370530042607644
2023-11,15,1781.8666666666666,126.66666666666667,107.0,8.371666666666666,6.975000000000008,22.44329136693086
2023-12,4,1807.5,119.75,72.25,25.575000000000003,27.849999999999994,14.6009988242814
2024-01,3,1788.6666666666667,112.0,78.0,19.27500000000002,5.300000000000001,26.266863630818236
